feature,gain_rank,gain_importance_mean,gain_importance_pct,split_importance_mean,count_flag_1,count_flag_0,coverage_pct,pit_rate_when_1,pit_rate_when_0,base_rate,diff_1_vs_0,diff_1_vs_base,lift_vs_base,is_outlier_flag
LapTime_Delta_stint_start,195,50.14107055664063,0.00024285607672499374,2.8,,,,,,,,,,0
Position_x_PositionChange_roll3_mean,196,48.50874004364014,0.00023494995545743952,2.0,,,,,,,,,,0
Position_Change_lag3_by_driver_race,197,47.11741819381714,0.00022821114908257192,2.2,,,,,,,,,,0
Position_roll3_min_by_driver_race,198,46.901016044616696,0.0002271630147614208,2.0,,,,,,,,,,0
Position_Change_roll5_max_by_driver_race,199,42.91153755187988,0.00020784015060696786,1.6,,,,,,,,,,0
Position_Change_since_stint_start,200,42.889974212646486,0.0002077357095188703,2.0,,,,,,,,,,0
Position_roll5_max_by_driver_race,201,41.75430183410644,0.00020223513014879844,2.0,,,,,,,,,,0
Position_Change_roll5_mean_by_driver_race,202,38.18256816864014,0.00018493559474853466,2.0,,,,,,,,,,0
Position_stint_start,203,36.4180606842041,0.00017638928011534476,1.8,,,,,,,,,,0
Position_since_stint_start,204,34.246659660339354,0.0001658721944648353,1.8,,,,,,,,,,0
Position_Change_roll3_min_by_driver_race,205,33.240619850158694,0.0001609994847556631,1.8,,,,,,,,,,0
top3,206,29.07373962402344,0.00014081738308395993,0.6,,,,,,,,,,0
Position_roll5_min_by_driver_race,207,28.60847988128662,0.00013856391792007783,1.4,,,,,,,,,,0
Position_Change_roll3_mean_by_driver_race,208,26.66147413253784,0.00012913368094561988,1.4,,,,,,,,,,0
Position_Change_stint_cumsum_prev,209,25.765740394592285,0.00012479523386077076,1.2,,,,,,,,,,0
Position_Change_lag2_by_driver_race,210,17.079369878768922,8.272317913530307e-05,1.2,,,,,,,,,,0
Position_Change_roll5_min_by_driver_race,211,14.746803855895996,7.142549787863677e-05,0.8,,,,,,,,,,0
Compound_target_encoded,212,13.618303871154785,6.595965768344435e-05,0.8,,,,,,,,,,0
Position_Change_lag1_by_driver_race,213,9.149946117401123,4.431736282548979e-05,0.6,,,,,,,,,,0
Position_Change_stint_start,214,5.117119979858399,2.4784546254066864e-05,0.4,,,,,,,,,,0
Compound,215,0.0,0.0,0.0,,,,,,,,,,0
flag_Position_Change_high95,216,0.0,0.0,0.0,26175.0,412965.0,5.9605137313840695,0.3028080229226361,0.19240129308779194,0.19898210137996994,0.11040672983484415,0.10382592154266615,1.5217852300413868,1
flag_LapTime_Delta_high95,217,0.0,0.0,0.0,21960.0,417180.0,5.0006831534362615,0.26311475409836066,0.19560621314540486,0.19898210137996994,0.0675085409529558,0.06413265271839072,1.3223036256709593,1
flag_LapNumber_high95,218,0.0,0.0,0.0,24197.0,414943.0,5.510087899075466,0.3170227714179444,0.19209867379374998,0.19898210137996994,0.1249240976241944,0.11804067003797444,1.5932225522765373,1
flag_Cumulative_Degradation_low05,219,0.0,0.0,0.0,21957.0,417183.0,5.0,0.4727421778931548,0.18457367630032864,0.19898210137996994,0.28816850159282614,0.2737600765131849,2.3758025199986266,1
flag_Cumulative_Degradation_low01,220,0.0,0.0,0.0,4395.0,434745.0,1.0008197841235142,0.6091012514220705,0.19483605331861206,0.19898210137996994,0.4142651981034584,0.41011915004210053,3.0610856313098735,1
early_race,221,0.0,0.0,0.0,,,,,,,,,,0
backmarker,222,0.0,0.0,0.0,,,,,,,,,,0
flag_Position_Change_high99,223,0.0,0.0,0.0,5278.0,433862.0,1.2018946121965661,0.3222811671087533,0.1974821487016609,0.19898210137996994,0.12479901840709243,0.12329906572878338,1.6196490280969311,1
flag_TyreLife_high99,224,0.0,0.0,0.0,4821.0,434319.0,1.0978275720726876,0.5094378759593445,0.19553600003683927,0.19898210137996994,0.3139018759225053,0.31045577457937457,2.5602195997846966,1
flag_RaceProgress_high99,225,0.0,0.0,0.0,4406.0,434734.0,1.0033246800564741,0.03495233772128915,0.20064453205868416,0.19898210137996994,-0.16569219433739502,-0.16402976365868077,0.17565568701350315,1
flag_TyreLife_high95,226,0.0,0.0,0.0,25033.0,414107.0,5.700459989980416,0.41800822913753843,0.18574184932879667,0.19898210137996994,0.23226637980874176,0.2190261277575685,2.10073281083369,1
flag_old_tyre_and_slow,227,0.0,0.0,0.0,763.0,438377.0,0.1737486906225805,0.7011795543905636,0.19810802117811838,0.19898210137996994,0.5030715332124451,0.5021974530105936,3.523832292089494,1
late_race,228,0.0,0.0,0.0,,,,,,,,,,0
flag_old_tyre_late_race,229,0.0,0.0,0.0,11191.0,427949.0,2.548390035068543,0.33929050129568405,0.19531299290336,0.19898210137996994,0.14397750839232407,0.14030839991571412,1.705130757704612,1
flag_position_loss_and_slow,230,0.0,0.0,0.0,2275.0,436865.0,0.5180580224985198,0.26373626373626374,0.19864489029791813,0.19898210137996994,0.06509137343834562,0.0647541623562938,1.3254270706119506,1
